,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,United Nations,,,,,,,,,,,,,,,,,
,,,,,Population Division,,,,,,,,,,,,,,,,,
,,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Workbook: UN_Migrant StockByAgeAndSex_2019.xlsx,,,,,,,,,,,,,,,,,
,,,,,"Table 5. Female migrants as a percentage of the international migrant stock by age and by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,
,,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Year,"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,,,,,,,,,,,
,,,,,,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1990,1990001,WORLD,,900,,49.9,49.6,49.1,48.7,48.1,46.9,46.5,46.8,47.3,48.0,49.0,50.8,52.9,53.9,56.3,58.4,49.2
1990,1990002,UN development groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990,1990003,More developed regions,b,901,,48.6,48.7,48.5,48.3,48.4,48.6,49.1,49.5,49.9,50.4,51.3,52.9,55.3,55.8,58.4,62.3,51.2
1990,1990004,Less developed regions,c,902,,50.4,50.1,49.5,49.0,47.7,44.9,43.4,43.3,43.6,44.2,45.6,47.6,49.2,51.1,53.2,53.0,47.0
1990,1990005,Least developed countries,d,941,,50.1,49.7,49.4,50.4,51.7,51.2,50.2,49.1,48.7,48.3,47.8,47.5,48.2,47.7,48.3,48.2,49.8
1990,1990006,"Less developed regions, excluding least developed countries",,934,,50.5,50.3,49.6,48.6,46.7,43.6,42.4,42.5,43.0,43.8,45.3,47.6,49.3,51.3,53.5,53.2,46.5
1990,1990007,World Bank income groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990,1990008,High-income countries,e,1503,,50.2,49.6,48.8,47.9,47.1,45.5,45.1,45.7,46.6,47.4,48.6,50.2,52.6,53.3,55.9,60.9,48.6
1990,1990009,Middle-income countries,e,1517,,49.5,49.5,49.1,48.9,48.5,47.9,47.9,48.0,48.3,48.7,49.8,51.8,53.4,54.9,57.0,55.9,49.9
1990,1990010,Upper-middle-income countries,e,1502,,49.5,49.2,48.7,47.9,46.9,46.2,46.4,46.9,47.4,48.1,49.5,52.5,54.1,57.0,61.7,63.6,49.3
