,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,
TABLE OF CONTENTS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019).",,,,,,,,,,,,,,,,,
"International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TABLE,TITLE,,,,,,,,,,,,,,,,
Table 1,"International migrant stock at mid-year by sex and by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,
Table 2,"Total population at mid-year by sex and by major area, region, country or area, 1990-2019 (thousands)",,,,,,,,,,,,,,,,
Table 3,"International migrant stock as a percentage of the total population by sex and by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,
Table 4,"Female migrants as a percentage of the international migrant stock by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,
Table 5,"Annual rate of change of the migrant stock by sex and by major area, region, country or area, 1990-2019 (percentage)",,,,,,,,,,,,,,,,
Table 6,"Estimated refugee stock (including asylum seekers) at mid-year by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,
ANNEX,Classification of countries and areas by major area and region,,,,,,,,,,,,,,,,
NOTES,NOTES,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
