,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,
,,,,"Table 4 - Female migrants as a percentage of the international migrant stock by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,,,,,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2019,,,,,,,,
1,WORLD,,900,,49.2,49.4,49.3,48.9,48.3,48.2,47.9,,,,,,,,
2,UN development groups,,,,..,..,..,..,..,..,..,,,,,,,,
3,More developed regions,b,901,,51.2,51.2,51.1,51.1,51.5,51.8,51.5,,,,,,,,
4,Less developed regions,c,902,,47.0,46.9,46.5,45.6,43.8,43.6,43.4,,,,,,,,
5,Least developed countries,d,941,,49.8,50.1,50.0,49.3,50.3,50.2,50.4,,,,,,,,
6,"Less developed regions, excluding least developed countries",,934,,46.5,46.2,46.0,45.0,43.0,42.6,42.3,,,,,,,,
7,World Bank income groups,,,,..,..,..,..,..,..,..,,,,,,,,
8,High-income countries,e,1503,,48.6,48.9,49.1,48.7,48.0,48.0,47.6,,,,,,,,
9,Middle-income countries,e,1517,,49.9,49.9,49.5,49.2,48.7,48.3,48.2,,,,,,,,
10,Upper-middle-income countries,e,1502,,49.3,49.3,48.9,48.8,48.2,47.6,47.4,,,,,,,,
11,Lower-middle-income countries,e,1501,,50.5,50.5,50.2,49.6,49.5,49.6,49.6,,,,,,,,
12,Low-income countries,e,1500,,50.1,50.6,50.4,49.8,50.7,50.8,50.9,,,,,,,,
