"destination_country","origin_country","Rank","1990","1995","2000","2005","2010","2015","2019"
"United States of America","Mexico",1,0,0,0,0,12168662,0,0
"United States of America","Mexico",2,0,0,0,0,0,11643298,0
"United States of America","Mexico",3,0,0,0,0,0,0,11489684
"United States of America","Mexico",4,0,0,0,10611064,0,0,0
"United States of America","Mexico",5,0,0,9410529,0,0,0,0
"United States of America","Mexico",6,0,6827945,0,0,0,0,0
"Ukraine","Russian Federation",7,5018098,0,0,0,0,0,0
"Ukraine","Russian Federation",8,0,4355392,0,0,0,0,0
"United States of America","Mexico",9,4298014,0,0,0,0,0,0
"Ukraine","Russian Federation",10,0,0,3745842,0,0,0,0
"Turkey","Syrian Arab Republic",11,0,0,0,0,0,0,3743494
"Russian Federation","Ukraine",12,0,0,3541839,0,0,0,0
"Russian Federation","Ukraine",13,0,3485074,0,0,0,0,0
"Ukraine","Russian Federation",14,0,0,0,3422713,0,0,0
"United Arab Emirates","India",15,0,0,0,0,0,0,3419875
"Ukraine","Russian Federation",16,0,0,0,0,0,0,3308515
"Russian Federation","Ukraine",17,3301922,0,0,0,0,0,0
"Russian Federation","Ukraine",18,0,0,0,3293929,0,0,0
"Ukraine","Russian Federation",19,0,0,0,0,0,3275758,0
"Russian Federation","Ukraine",20,0,0,0,0,0,3269992,0
"Russian Federation","Ukraine",21,0,0,0,0,0,0,3269248
"Ukraine","Russian Federation",22,0,0,0,0,3265811,0,0
"United Arab Emirates","India",23,0,0,0,0,0,3184043,0
"Russian Federation","Ukraine",24,0,0,0,0,2978217,0,0
"United Arab Emirates","India",25,0,0,0,0,2913858,0,0
"Pakistan","India",26,2818248,0,0,0,0,0,0
"Turkey","Syrian Arab Republic",27,0,0,0,0,0,2768494,0
"United States of America","India",28,0,0,0,0,0,0,2661470
"Russian Federation","Kazakhstan",29,0,0,2571681,0,0,0,0
"Russian Federation","Kazakhstan",30,0,0,0,2568446,0,0,0
"Russian Federation","Kazakhstan",31,0,0,0,0,0,2560269,0
"Russian Federation","Kazakhstan",32,0,0,0,0,0,0,2559711
"Russian Federation","Kazakhstan",33,0,0,0,0,2512343,0,0
"Russian Federation","Kazakhstan",34,0,2506132,0,0,0,0,0
"Kazakhstan","Russian Federation",35,2474111,0,0,0,0,0,0
"Kazakhstan","Russian Federation",36,0,0,0,0,0,0,2458414
"Saudi Arabia","India",37,0,0,0,0,0,0,2440489
"United States of America","India",38,0,0,0,0,0,2389639,0
"Pakistan","India",39,0,2365884,0,0,0,0,0
"Kazakhstan","Russian Federation",40,0,0,0,0,0,2352598,0
"Russian Federation","Kazakhstan",41,2349697,0,0,0,0,0,0
"Kazakhstan","Russian Federation",42,0,2253497,0,0,0,0,0
"Kazakhstan","Russian Federation",43,0,0,0,0,2211875,0,0
"Kazakhstan","Russian Federation",44,0,0,0,2122379,0,0,0
"Jordan","State of Palestine",45,0,0,0,0,0,0,2118267
"Pakistan","India",46,0,0,2101039,0,0,0,0
"United States of America","Philippines",47,0,0,0,0,0,0,2047269
"Kazakhstan","Russian Federation",48,0,0,2032883,0,0,0,0
"Saudi Arabia","India",49,0,0,0,0,0,2003256,0
"Pakistan","India",50,0,0,0,1998814,0,0,0
"United States of America","Philippines",51,0,0,0,0,0,1982369,0
"Jordan","State of Palestine",52,0,0,0,0,0,1969731,0
"Pakistan","India",53,0,0,0,0,1943345,0,0
"India","Pakistan",54,1921278,0,0,0,0,0,0
"Thailand","Myanmar",55,0,0,0,0,0,0,1858735
"United States of America","Philippines",56,0,0,0,0,1843117,0,0
"United States of America","Puerto Rico",57,0,0,0,0,0,0,1830275
"Germany","Poland",58,0,0,0,0,0,0,1784839
"United States of America","India",59,0,0,0,0,1784284,0,0
"Thailand","Myanmar",60,0,0,0,0,0,1782773,0
"Jordan","State of Palestine",61,0,0,0,0,1760396,0,0
"United States of America","Puerto Rico",62,0,0,0,0,1710665,0,0
"Pakistan","India",63,0,0,0,0,0,1709217,0
"United States of America","Puerto Rico",64,0,0,0,0,0,1695637,0
"Saudi Arabia","Indonesia",65,0,0,0,0,0,0,1667077
"Germany","Turkey",66,0,0,1649639,0,0,0,0
"Thailand","Myanmar",67,0,0,0,0,1648602,0,0
"India","Pakistan",68,0,1637255,0,0,0,0,0
"United States of America","Puerto Rico",69,0,0,0,1618157,0,0,0
"Germany","Turkey",70,0,1617880,0,0,0,0,0
"Jordan","State of Palestine",71,0,0,0,1611803,0,0,0
"United States of America","Philippines",72,0,0,0,1596459,0,0,0
"Germany","Poland",73,0,0,0,0,0,1592694,0
"Pakistan","India",74,0,0,0,0,0,0,1588067
"Germany","Turkey",75,1586121,0,0,0,0,0,0
"Saudi Arabia","India",76,0,0,0,0,1579235,0,0
"United States of America","Puerto Rico",77,0,0,1576432,0,0,0,0
"Germany","Poland",78,0,0,0,0,1535428,0,0
"Germany","Turkey",79,0,0,0,0,0,0,1531333
"Germany","Turkey",80,0,0,0,1483727,0,0,0
"Saudi Arabia","Pakistan",81,0,0,0,0,0,0,1447071
"United States of America","El Salvador",82,0,0,0,0,0,0,1429155
"Jordan","State of Palestine",83,0,0,1428251,0,0,0,0
"United States of America","Philippines",84,0,0,1403834,0,0,0,0
"United States of America","India",85,0,0,0,1390605,0,0,0
"United States of America","Puerto Rico",86,0,1384103,0,0,0,0,0
"Germany","Turkey",87,0,0,0,0,0,1370193,0
"United States of America","Viet Nam",88,0,0,0,0,0,0,1368746
"Saudi Arabia","Indonesia",89,0,0,0,0,0,1368407,0
"India","Pakistan",90,0,0,1353231,0,0,0,0
"United States of America","El Salvador",91,0,0,0,0,0,1352357,0
"Oman","India",92,0,0,0,0,0,0,1325444
"Germany","Turkey",93,0,0,0,0,1320171,0,0
"United States of America","Viet Nam",94,0,0,0,0,0,1300575,0
"United Arab Emirates","India",95,0,0,0,1286993,0,0,0
"Uzbekistan","Russian Federation",96,1267201,0,0,0,0,0,0
"Australia","United Kingdom",97,0,0,0,0,0,0,1262204
"India","Pakistan",98,0,0,0,1250307,0,0,0
"United States of America","Viet Nam",99,0,0,0,0,1236000,0,0
"Lebanon","Syrian Arab Republic",100,0,0,0,0,0,1230484,0
"Malaysia","Indonesia",101,0,0,0,0,0,0,1225156
"Saudi Arabia","India",102,0,0,0,1216549,0,0,0
"Australia","United Kingdom",103,0,0,0,0,0,1206060,0
"United States of America","El Salvador",104,0,0,0,0,1192423,0,0
"Saudi Arabia","Pakistan",105,0,0,0,0,0,1187817,0
"Australia","United Kingdom",106,0,0,0,0,1185070,0,0
"United States of America","Puerto Rico",107,1180383,0,0,0,0,0,0
"United States of America","Dominican Republic",108,0,0,0,0,0,0,1173662
"Malaysia","Indonesia",109,0,0,0,0,0,1171677,0
"Lebanon","Syrian Arab Republic",110,0,0,0,0,0,0,1162305
"Uzbekistan","Russian Federation",111,0,1161963,0,0,0,0,0
"Germany","Poland",112,0,0,0,1157821,0,0,0
"United States of America","Philippines",113,0,1156143,0,0,0,0,0
"Iran (Islamic Republic of)","Iraq",114,1153969,0,0,0,0,0,0
"Thailand","Myanmar",115,0,0,0,1150168,0,0,0
"India","Pakistan",116,0,0,0,0,1147382,0,0
"Russian Federation","Uzbekistan",117,0,0,0,0,0,1146803,0
"Russian Federation","Uzbekistan",118,0,0,0,0,0,0,1146535
"Jordan","State of Palestine",119,0,1140038,0,0,0,0,0
"Democratic Republic of the Congo","Rwanda",120,0,1132791,0,0,0,0,0
"Australia","United Kingdom",121,0,0,1128510,0,0,0,0
