"get_position","get_company","get_location","job_details","get_description"
"Data EngineerMongoDB","MongoDB","New York City","https://ai-jobs.net/job/data-engineer-40/","MongoDB is growing rapidly and seeking a Data Engineer to be a key contributor to the overall internal data platform at MongoDB.  You will build data driven solutions to help drive MongoDBs growth as a product and as a company.  You will take on complex data-related problems using very diverse data sets.Who?You have experience with:several programming languages (Python, Scala, Java, etc..)data processing frameworks like Sparkstreaming data processing frameworks like Kafka, KSQ,  and Spark Streaminga diverse set of databases like MongoDB, Cassandra, Redshift, Postgres, etc.different storage format like Parquet, Avro, Arrow, and JSONAWS services such as EMR, Lambda, S3, Athena, Glue, IAM, RDS, etc.orchestration tools such as Airflow, Luiji, Azkaban, Cask, etc.Git and GithubCI/CD PipelinesAlsoEnjoy wrangling huge amounts of data and exploring new data setsValue code simplicity and performanceObsess over data: everything needs to be accounted for and be thoroughly testedPlan effective data storage, security, sharing and publishing within the organizationAre constantly thinking of ways to squeeze better performance out of the pipelinesBonus PointsYou are deeply familiar with Spark and/or HiveYou have expert experience with AirflowUnderstand the differences between different storage format like Parquet, Avro, Arrow, and JSONUnderstand the tradeoffs between different schema designs like normalization vs denormalizationIn addition to data pipelines, you’re also quite good with Kubernetes, Drone, and TerraformYou’ve built end to end production grade data solutions that run on AWSHave experience building ML pipelines using tools likeSparkML, Tensorflow, Scikit-Learn, etc.What?As a Data Engineer,  you will:Build large-scale batch and real-time data pipelines with data processing frameworks like Spark on AWSHelp drive best practices in continuous integration and deliveryHelp drive optimization, testing and tooling to improve data qualityCollaborate with other software engineers, ML experts and stakeholders, taking learning and leadership opportunities that will arise every single day"
"Machine Learning EngineerMedium","Medium","San Francisco","https://ai-jobs.net/job/machine-learning-engineer-64/","At Medium, words matter. We are building the best place for reading and writing on the internet—a place where today’s smartest writers, thinkers, experts, and storytellers can share big, interesting ideas; a place where ideas are judged on the value they provide to readers, not the fleeting attention they can attract for advertisers. We are looking for a Machine Learning Engineer that will work with a talented multi-functional team and focus on building an advanced recommendations engine that matches Medium’s users with the content they enjoy. We are looking for experienced engineers that will help design, prototype and implement systems which enable users to discover personalized content.  At Medium, we are proud of our product, our team, and our culture. Medium’s website and mobile apps are accessed by millions of users each day. Our mission is to move thinking forward by providing a place where individuals, along with publishers, can share stories and their perspectives. Behind this beautifully-crafted platform is our engineering team who works seamlessly together. From frontend to API, from data collection to product science, Medium engineers work multi-functionally with open communication and feedback.What will you doWork on a large-scale recommendation system, consisting of feature engineering / storage,  deep learning training pipelines, offline evaluation systems, and online serving infrastructure.Work on a team to understand Medium’s user’s interests and build the systems and machine learning models that deliver recommendations to users.Push the boundary of natural language processing (NLP) technologies and combine artificial and human intelligence to understand content on Medium.Apply state-of-the-art machine learning technologies to find the most interesting and relevant for readers on Medium and help them get value from Medium.Collaborate with product scientists, product managers, and other engineers across the company.Who are youYou have experience working on production machine learning systems at scale, data mining, search, ranking, recommendations, and/or natural language processing.4+ years of software engineering experienceYou have deep understanding of machine learning models, feature engineering, and how to evaluate performances of machine learning systems.You are passionate about using technology to help Medium readers discover the most interesting and relevant stories.Nice to HaveSpark data pipeline and/or streaming experienceAt Medium, we foster an inclusive, supportive, fun yet challenging team environment. We  value having a team that is made up of a diverse set of backgrounds and respect the healthy expression of diverse opinions. We embrace experimentation and the examination of all kinds of ideas through reasoning and testing. Come join us as we continue to change the world of digital media. Medium is an equal opportunity employer Interested? We’d love to hear from you."
"Senior Data EngineerManulife","Manulife","Toronto, ON CA","https://ai-jobs.net/job/senior-data-engineer-8/","Are you looking for unlimited opportunities to develop and succeed? With work that challenges and makes a difference, within a flexible and supportive environment, we can help our customers achieve their dreams and aspirations.Job DescriptionAre you looking for unlimited opportunities to develop and succeed? With work that challenges and makes a difference and a flexible and supportive environment, we can help our customers achieve their dreams and aspirations.The fast-growing Manulife Canadian Data office is hiring a senior data engineer working on advanced analytics engineering, data services, AI/machine learning production, and DataOps in Toronto or Waterloo officeAs Senior Data Engineer in this role you will work on:AI/Machine learning engineering and productionBig data application and analytics productsAdvanced analytics and DataOps solutions in the Big Data ecosystemResponsibilities for this role include:Build AI/machine learning engineering and production, including recommendation engine and real-time decision management systemLead multiple multi-functional teams to build big data application and analytics products using cloud/bigdata/advanced analytics technologies to advance Manulife’s all lines of businessParticipate in PoC/PoT efforts to integrate new Big Data management technologies, software engineering tools, and new patterns into existing structuresExploratory data analysis; Query and process Big Data, provide reports, summarize and visualize the dataResearch opportunities for data acquisition and new uses for existing dataDevelopment of Big Data set processes for data modeling, mining and productionConsult, collaborate, and recommend solutions for batch and streaming use case patternsCreate and publish design documents, usage patterns, and cookbooks for technical communityExperience required for this role is as follows:Over three years of experience in Pyspark/SparkSQL/Scala programming in cloud/spark environmentStrong experience in AI/Machine learning engineering and productionHands-on working experience in building recommendation engine and real-time decision management systemExperience with DevOps or continuous delivery tools and processes a plusExperience with data as service/API service/Microservice/Neo4j/Elasticsearch/sparkstreamingExperience in Big Data performance analysis, tuning and capacity planningShow passion, take accountability, and be willing to grow and leadWhat about Perks?Manulife has lots of perks including, but not limited to:Competitive compensationRetirement Savings Accounts including a RPP (Pension Plan), RRSP (Retirement Savings Plan), and TFSA (Tax Free Savings account)Manulife Share Ownership Program with employer matchingCustomizable Benefits Package including Health, Dental, Vision, and 100% of Mental Health expensesFinancial support for ongoing training, learning, and educationMonthly Innovation Days (Hackathons)Wearing jeans to work every dayAn abundance of career paths and opportunities to advanceA flexible work environment with flex hours, work from home arrangements, distributed teams, and condensed work week arrangements.This is a full time permanent role that can be worked from Toronto or Waterloo, Ontario.We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
"Research ScientistAllen Institute for Artificial Intelligence (AI2)","Allen Institute for Artificial Intelligence (AI2)","Seattle, WA","https://ai-jobs.net/job/research-scientist-6/","The Allen Institute for Artificial Intelligence (AI2) is a non-profit research institute in Seattle founded by Paul Allen and headed by Professor Oren Etzioni. The core mission of (AI2) is to contribute to humanity through high-impact AI research and engineering. We are actively seeking post docs and Research Scientists at all levels who are passionate about AI and who can help us achieve this core mission by teaming to construct AI systems with reasoning, learning and reading capabilities.Position SummaryAI2 currently has projects in the following areas:Language and VisionInformation extraction and semantic parsingQuestion answeringLanguage and reasoningMachine learning and theory formationSemantic searchNatural language processingDiagram understandingVisual knowledge extraction and visual reasoningAnd more….AI2 Research Scientists will have a primary focus in one of these specific areas but will also have the opportunity to contribute and engage in a variety of other areas critical to our research and mission. These include opportunities to participate in or lead select R&D projects, work with management to develop the long term vision for knowledge systems R&D, take a leading role in overseeing and implementing software systems supporting AI2’s research, author and present scientific papers and presentations for peer-reviewed journals and conferences, and help develop collaborative and strategic relationships with relevant academic, industrial, government, and standards organizations.QualificationsApplicants for Research Scientist at AI2 should have a strong foundation (typically PhD level) in one or more of the following areas: natural language processing, machine reading, automatic knowledge base construction, large-scale textual inference and entailment, knowledge representation and reasoning, computer vision and machine learning, or question answering and explanation. We look favorably upon extensive work experience and publishing demonstrating application of your research.Why AI2In addition to AI2’s core mission, we also aim to contribute to humanity through our treatment of each member of the AI2 Team. Some highlights are:We are a learning organization — because everything AI2 does is ground-breaking, we are learning every day. Similarly, through weekly AI2 Academy lectures, a wide variety of world-class AI experts as guest speakers, and our commitment to your personal on-going education, AI2 is place where you will have opportunities to continue learning alongside your coworkers.We value diversity — We seek to hire, support, and promote people from all genders, ethnicities, and all levels of experience regardless of age. We particularly encourage applications from women, non-binary individuals, people of color, members of the LGBTQA+ community, and people with disabilities of any kind.We value inclusion — We understand the value that people’s individual experiences and perspectives can bring to an organization, and we are building a culture in which all voices are heard, respected and considered.We emphasize a healthy work/life balance — we believe our team members are happiest and most productive when their work/life balance is optimized. While we value powerful research results which drive our mission forward, we also value dinner with family, weekend time, and vacation time. We offer generous paid vacation and sick leave as well as family leave.We are collaborative and transparent — we consider ourselves a team, all moving with a common purpose. We are quick to cheer our successes, and even quicker to share and jointly problem solve our failures.We are in Seattle — and our office is on the water! We have mountains, we have lakes, we have four seasons, we bike to work, we have a vibrant theater scene, and we have so much else. We even have kayaks for you to paddle right outside our front door. We welcome interest from applicants from outside of the United States.We are friendly — chances are you will like every one of the 100+ (and growing) people who work here. We do.AI2 is proud to be an Equal Opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics."
"Data Scientist – Analytics, ForecastingAirbnb","Airbnb","San Francisco, United States","https://ai-jobs.net/job/data-scientist-analytics-forecasting/","Airbnb has become a global platform that connects travelers and hosts from over 81,000 cities. Our Data Science team draws insights from our rich two-sided marketplace data to propel our community and product forward. Together we can create a place where we can belong anywhere.Information is only valuable if it is understood. As a Data Scientist focused on analytics, you’ll have the opportunity to influence the business by creatively exploring the data to inform what we do differently. You’ll define success and measure our progress, and you’ll make sure that your team and the company overall know what is happening. We think of data as the voice of the user at scale. You’ll be that translator. And because Airbnb is a global product with people traveling to each other’s homes, you’ll be responsible for understanding what works differently in those cultural contexts. We are looking for a talented Data Scientist to join our Central Strategy and Insights team, focusing on Revenue forecasting. This role will be a hybrid between a data scientist, strategic business partner, and financial analyst; we’re looking for a self-starter with an entrepreneurial mindset, who can understand drivers that are important of a rapidly growing business. Responsibilities will revolve around modeling the Homes business, driving revenue planning, evaluating ROI of investments and developing actionable insights to drive business growth. The best candidates will be those with a technical background that want to be close to the financial core of the business. The role will start as a senior IC role and could potentially transition into management in the future.  Responsibilities:Partner with a cross functional team of Data Scientists, Engineers, and FP&A Analysts to help define the scope, vision, and roadmap of forecasting at Airbnb. Communicate performance metrics, explaining the business reasons for variance from the forecast to our executive team and senior leaders across the company.Utilize Airbnb’s advanced statistical growth model to identify drivers of growth to perform monthly / quarterly forecast updates that will ultimately drive strategic decisions,  financial planning, and external guidance on earnings calls. Manage a variety of stakeholders that provide inputs and consume outputs of the revenue forecast.  Skills and experience:BA/BS in a quantitative field (e.g., mathematics, statistics, econometrics, computer science); advanced degree is a plus 8+ years’ industry experience in data science, analytics, economic consulting, or finance (quant)Strong communication/presentation skills with a track record of presenting complex analyses to executives/ senior management clearly and conciselyExpert in financial modeling in excel Strong foundational understanding of statistics and interest to learn more about statistical modelingExpert knowledge of SQL and relational databases, and some experience with programming in R or Python BenefitsStock$2,000 yearly employee travel couponCompetitive salaryPaid time off Medical, dental, & vision insuranceLife & disability coverage401KFlexible Spending AccountsApple equipmentDaily breakfast, lunch, and dinner We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status"
"Senior Data ScientistMailchimp Your business was born for this.","Mailchimp     Your business was born for this.","Atlanta, GA","https://ai-jobs.net/job/senior-data-scientist-28/","Mailchimp is a leading marketing platform for small business. We empower millions of customers around the world to build their brands and grow their companies with a suite of marketing automation, multichannel campaign, CRM, and analytics tools.The Data Science team builds applications that make sense of the data created by MailChimp’s millions of users. By using predictive analytics and big data technologies we help MailChimp fight spam and empower small businesses with information. We work closely with MailChimp’s Development and Operations teams to make analytical insights actionable within our infrastructure. MailChimp is looking for a Senior Data Scientist to help our data science team’s research efforts. You’ll work alongside software engineers by trialing analyses and training predictive models on our data that will eventually become customer facing and/or internal services, and you’ll touch hundreds of terabytes of data.The ideal candidate is a self-directed, experienced data scientist who believes in demonstrating how data can be used to help our customers. You love new challenges, but you’re skeptical of the new hotness. You’ve run analyses using various tools, but you’re partial to Python. Communication and cross-validation are tools you use every day. What you’ll do:Work and lead to develop analytical techniques for our predictive models as well as improve existing ones using Python’s scientific computing stackInform, influence, and support data scientists and software engineers working on the teamHelp mentoring and guiding junior scientists on the teamHelp to identify opportunities in MailChimp data systemsWork to improve quality and mitigate bias in MailChimp data systemsEmbrace and demonstrate our values: humility, creativity, and independenceWe’d love to hear from you if:Degree in Statistics, Operations Research, Mathematics, Computer Science, or equivalent experience5+ years of experience in Data Science, Machine Learning  or related fieldsExpert in Python and associated data science ecosystemExperience with Cloud platforms (Google Cloud, AWS…).  Experience with big data processing tools:  BigQuery, Dataflow, Spark… Mailchimp is a founder-owned and highly profitable company headquartered in the heart of Atlanta. Our purpose is to empower the underdog, and our mission is to democratize cutting edge marketing technology for small business. We offer our employees an exceptional workplace, extremely competitive compensation, fully paid benefits (for employees and their families), and generous profit sharing. We hire humble, collaborative, and ambitious people, and give them endless opportunities to grow and succeed.We love our hometown and support sustainable urban renewal. Our headquarters is in the historic Ponce City Market, right on the Atlanta Beltline. If you’d like to be considered for this position, please apply below. We look forward to meeting you!Mailchimp is an equal opportunity employer, and we value diversity at our company. We don’t discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
"Data ScientistMailchimp Your business was born for this.","Mailchimp     Your business was born for this.","Atlanta, GA","https://ai-jobs.net/job/data-scientist-102/","Mailchimp is a leading marketing platform for small business. We empower millions of customers around the world to build their brands and grow their companies with a suite of marketing automation, multichannel campaign, CRM, and analytics tools.The Data Science team builds applications that make sense of the data created by Mailchimp’s millions of users. By using predictive analytics and big data technologies we help Mailchimp fight spam and empower small businesses with information. We work closely with Mailchimp’s Development and Operations teams to make analytical insights actionable within our infrastructure. Mailchimp is looking for a Data Scientist to help our data science team’s research efforts. You’ll work alongside software engineers by trialing analyses and training predictive models on our data that will eventually become customer facing and/or internal services, and you’ll touch hundreds of terabytes of data.The ideal candidate is a self-directed, experienced data scientist who believes in demonstrating how data can be used to help our customers. You love new challenges, but you’re skeptical of the new hotness. You’ve run analyses using various tools, but you’re partial to Python. Communication and cross-validation are tools you use every day. What you’ll do:Work to develop analytical techniques for our predictive models as well as improve existing ones using Python’s scientific computing stackHelp to identify opportunities in Mailchimp data systemsWork to improve quality and mitigate bias in Mailchimp data systemsEmbrace and demonstrate our values: humility, creativity, and independenceWe’d love to hear from you if: 2+ years experience working on data science projects or applicationsDevelopment experience in a scientific programming language (Python, R, Matlab, Julia)Understanding of statistical analysis and machine learning techniquesExperience in database systems (SQL or NoSQL)Experience with Cloud platforms (Google Cloud, AWS…)Ability to communicate methods and results of analyses Bonus points if:Advanced degree in quantitative or technical field Mailchimp is a founder-owned and highly profitable company headquartered in the heart of Atlanta. Our purpose is to empower the underdog, and our mission is to democratize cutting edge marketing technology for small business. We offer our employees an exceptional workplace, extremely competitive compensation, fully paid benefits (for employees and their families), and generous profit sharing. We hire humble, collaborative, and ambitious people, and give them endless opportunities to grow and succeed.We love our hometown and support sustainable urban renewal. Our headquarters is in the historic Ponce City Market, right on the Atlanta Beltline. If you’d like to be considered for this position, please apply below. We look forward to meeting you!Mailchimp is an equal opportunity employer, and we value diversity at our company. We don’t discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
"Data Scientist (NLP)Manulife","Manulife","Montreal, QC CA","https://ai-jobs.net/job/data-scientist-nlp-4/","Are you looking for unlimited opportunities to develop and succeed? With work that challenges and makes a difference, within a flexible and supportive environment, we can help our customers achieve their dreams and aspirations.Job DescriptionThe Role: Data Scientist (NLP)Are you looking for unlimited opportunities to develop and succeed? At Manulife, we offer work that is challenging and makes a difference. Our flexible and supportive work environment ensures the best service to help our customers to achieve their dreams and aspirations.General Accountability:The Data Scientist develops and implements analytics enabled solutions to improve business process, to generate insights, to support business goals and strategy development. They would also own and deliver complete projects of moderate scope and manages assigned tasks on more complex projects.This position is accountable for the research, development and implementation of Natural Language Processing models and algorithms to improve business processes, and generate insight to support the strategy and goals of Group Functions (Compliance, Risk, HR, Branding & Communication, Finance, etc.).In addition, this position will act as a bridge between researchers at Mila and Manulife to ensure the success of our partnership. The candidate is expected to share time between Manulife Quebec office and Mila.Responsibilities:Lead and develop NLP solutions through consulting type engagements with internal business clientsIdentify, assess and drive the adoption of new NLP techniques across ManulifeConduct research to push Manulife abilities in data science and NLP.Turn statistical and computational analysis into user-friendly graphs, charts, and animation. Enable those who aren’t professional data analysts to effectively interpret data.Peer review other Data Scientists’ workQualifications:Advanced degree in Computer Science or Computer Engineering with a focus on ML or NLP (PhD preferred)Minimum of 3 years of applied experience in ML, deep learning and NLPHave expert understanding of machine learning and NLP tasks such as classification, feature engineering, information extraction, structured prediction, sentiment analysis, Q/A, NER and topic modellingFully understand different neural networks (LSTM, CNN, RNN, seq2seq, BERT etc.), different word embedding models and transfer learning.Proficient in Python or C/C++Knowledge of packages such as Tensorflow, Pytorch, Keras, Scikit Learn, Pandas, NLTK, Gensim, spaCy and XGBoostHave experience with embeddings, transfer learning, and interpretability methodsHave working knowledge of Hadoop ecosystem (e.g. Spark)Have the ability to build, validate, deploy and monitor iteratively advanced predictive modelsExcellent communication, influencing, consulting and conflict management skillsExtensive experience in debugging and solving performance issues when taking care of terabytes of dataProven track record of delivering innovative analytical insights to a variety of customersStrong dedication to interpersonal success and teamworkAdaptable and open to change with strong collaboration and presentation skillsFamiliarity with Agile methodologiesPersonal Attributes and Cultural Fit:Inspires and motivates others.Role model of ethics and integrity who builds a culture of respect.Highly effective change agent who embraces change and leads change management.Provides courageous advice.Results oriented; highly focused on accountability.Ability to handle multiple partnersDemonstrates a commitment to delivering excellent service balanced with appropriate risk management.Strategic perspective.Highly collaborative working style. If you are ready to unleash your potential, it’s time to start your career with Manulife/John Hancock. About Manulife Manulife Financial Corporation is a leading international financial services group that helps people make their decisions easier and lives better. We operate primarily as John Hancock in the United States and Manulife elsewhere. We provide financial advice, insurance, as well as wealth and asset management solutions for individuals, groups and institutions. At the end of 2018, we had more than 34,000 employees, over 82,000 agents, and thousands of distribution partners, serving almost 28 million customers. As of December 31, 2018, we had over $1.1 trillion (US$794 billion) in assets under management and administration, and in the previous 12 months we made $29.0 billion in payments to our customers.  Our principal operations in Asia, Canada and the United States are where we have served customers for more than 100 years. With our global headquarters in Toronto, Canada, we trade as ‘MFC’ on the Toronto, New York, and the Philippine stock exchanges and under ‘945’ in Hong Kong. Manulife is committed to supporting a culture of diversity and accessibility across the organization. It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will consult with applicants contacted to participate at any stage of the recruitment process who request an accommodation. Information received regarding the accommodation needs of applicants will be addressed confidentially."
"Data Science ManagerMozilla A non-profit with one mission: defend the free and open web","Mozilla     A non-profit with one mission: defend the free and open web","Mountain View, Remote Canada, Remote US, San Francisco, Toronto","https://ai-jobs.net/job/data-science-manager-5/","Team:Data AnalyticsLocations:Mountain View, Remote Canada, Remote US, San Francisco, TorontoThe RoleAt Mozilla, we want to protect the Internet as a global resource, open and accessible to all. We collect terabytes of data a day from millions of users to guide our decision-making. We could use your help. As a manager on the data science team, you will own a critical piece of the Mozilla organization.  Data scientists work closely with our policy, legal, and business development teams to enable decisions and contribute insights that push our mission forward and in the right direction.  They build models and design experiments that improve our understanding about the operation of our business and products to ensure that we are optimizing our decisions for maximum impact on the market.  We are looking for an opinionated manager with technical chops who is excited to marshal a data science team to shape the future of the Web. You will manage a small team of data scientists and will be responsible for career mentorship and technical guidance.  You will work with leadership to define and execute strategies that demonstrate the value of the data contributed by our users while maintaining an ethical set of principles to guide your practice.As a data science manager…You are comfortable steering a team of 2-7 data scientists to align with business priorities, legal and policy agendas, and Mozilla’s greater missionYou pride yourself on your ability to communicate technical concepts to diverse  audiences across MozillaYou define requirements for data scientists to other parts of the Mozilla organizationYou collaborate with cross-functional management to create new initiatives and refine existing processes that increase the impact of the data science teamYou possess a strategic mindset and find motivation in creatively solving problemsYou establish best practices for data science workflows and know how to create an environment and team culture that enables data scientists to perform at their bestYou have a strong desire to contribute to Mozilla’s mission through data science Your professional profileAt least 2 years directly managing a team of data scientists.At least 5 years of industry experience in the data science profession.You have experience with a breadth of analytical methodologies and possess a solid foundation in numerous statistical techniquesYou also have experience with common data science technologies, namely SQL, Python, or R, as well as familiarity with conventional code and programming conceptsYou have strong communication skills; experience speaking at industry or academic conferences a plusYou consider contributing to a collaborative and open team culture an important responsibilityFeel good about your work again.At Mozilla, we’re serving humanity—by maintaining a safe, open internet—while also helping the individual humans employed here to reach their personal and professional goals. With a relatively small team serving hundreds of millions of people, a culture of exploration, and a commitment to mentorship, opportunities abound to learn and grow at Mozilla.Our values drive our actionsPurpose is built into our work, with our mission driving every decisionWe challenge assumptions, the status quo, ourselves, and each otherWe are transparent: in our code, our business partnerships, and our everyday interactions We seek out people from diverse backgrounds and with perspectives different from our own We pair purpose with performance and put people ahead of profitOur impact is global1000+ paid staff from over 30 countriesThousands of volunteer contributors across six continents10 global offices: Beijing, Berlin, London, Paris, Mountain View, Portland, San Francisco, Taipei, Toronto and VancouverHundreds of home offices globallyOur benefits are world-class Flexible work environment (nearly half of Mozillians work remotely)Industry-leading paid parental leave (up to 26 weeks of fully paid leave for childbearing parents and up to 12 weeks for non-childbearing parents)Reimbursement for professional development (up to $3,000/year)A work setup including the latest hardware and software of your choiceWellness programs—we reimburses up to $1700/year for expenses like child and elder care, mental wellness, and personal enrichment  About MozillaWe are an equal opportunity employer and value diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.A lot of companies say they’re “mission-driven.” Our unique corporate structure guarantees that every decision we make upholds our mission: to make sure the internet stays available, safe, and welcoming to everyone. Beholden to neither shareholders nor investors, Mozilla Corporation is wholly owned by the not-for-profit Mozilla Foundation.Along with 20,000+ volunteer contributors and collaborators all over the world, Mozilla Corporation’s staff designs, builds, and distributes software that allows people to enjoy the internet on their own terms. Our flagship product — the Firefox browser — has expanded into a family of products that protects users and alerts them of risks. Mozilla’s Emerging Technologies group incubated and sponsors Rust — Stack Overflow’s “most loved programming language” for the last four years — and is building safe, private versions of virtual reality, internet of things, and voice recognition."
"Machine Learning Intern – Pocket (Summer 2020)Mozilla A non-profit with one mission: defend the free and open web","Mozilla     A non-profit with one mission: defend the free and open web","San Francisco","https://ai-jobs.net/job/machine-learning-intern-pocket-summer-2020/","Team:PocketLocations:San FranciscoAt Pocket we love what we do, but more importantly we are building something that millions of people love, too. Pocket has become essential to how people discover and consume content worthy of their time and attention on any device and on their own time. If you are passionate about using technology to improve people’s lives, we believe Pocket has challenges ahead that will excite you.With millions of people discovering and consuming content across the Pocket platform, our community generates one of the most unique and interesting sets of data on the web. We are looking to expand our team to help achieve our mission of advancing access to and discovery of high-quality, personalized content across the web.We’re a small team that has the resources of a large company (Pocket was acquired by Mozilla in 2017) and that means lots of opportunity to own projects from start to finish that have tremendous impact on hundreds of millions of users, across many different devices and platforms. Your role will fundamentally affect the success of Pocket.As a part of our Internship Program, you will:Be mentored by a fellow teammate and someone who shares the same valuesDo real work on real projects and make contributions that will impact hundreds of millions of usersParticipate in social events with your fellow interns (amusement parks, ice cream and boba socials, board game nights, escape rooms, and painting parties)Meet with Mozilla and Pocket leaders including our CEO, Executive Chairwoman, CPO, Chief R&D Officer, CMO, and Executive Foundation DirectorPresent your work to leaders and fellow team membersPerks include:Market competitive payCatered lunches, snacks, and drinksHousing service or housing stipend provided Flights and ground transportation to and from internshipWork visas sponsoredAttendance at our bi-annual All Hands MeetingApplication and Interview ProcessRecruiting begins in September, and we hire on a rolling basis through March. While there is no set application deadline, we do have a limited number of positions open each year, so please apply early!Process starts with a resume review followed by a HackerRank challenge (technical) or document submission (non-technical)Upon passing, you will partake in two technical and behavioral interviews with team members (coding and situational questions are fair game) followed by a hiring manager interview and ultimately, an offer decision. Machine Learning Intern (San Francisco, CA)The Data & Learning team at Pocket is responsible for recommendations and content analysis. Our work is applied to the Pocket products and the Firefox new tab. We typically use Python, and are looking for an intern with some machine learning and/or statistical experience. As an intern, you will help us explore recommendations, classifications, and optimization problems.Basic Qualifications: Currently enrolled in a Bachelor’s or Master’s degree program in Computer Science, or a related disciplineGraduation date starting December 2020 and onward Preferred Qualifications:PythonUnix/LinuxSQLUnderstanding of machine learning and statisticsStrong analytical and critical thinking skills Ability to interpret large amounts of data, multi-task, and produce results independently and collaboratively in a teamAbout Mozilla Mozilla exists to build the Internet as a public resource accessible to all because we believe that open and free is better than closed and controlled. Join us and become part of our mission to promote openness, innovation and opportunity online. Mozilla is committed to Equal Employment Opportunity throughout our recruiting and hiring process and is dedicated to increasing diversity in our workplace."
