,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,United Nations,,,,,,,,,
,,,,,Population Division,,,,,,,,,
,,,,,Department of Economic and Social Affairs,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,
,,,,,ANNEX. Classification of countries and areas by major area and region,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Index,"Region, subregion, country or area",Notes,Code,Type of data,More Developed Regions,Less Developed Regions,Least developed countries,High-income Countries,Middle-income Countries,Upper-middle-income Countries,Lower-middle-income Countries,Low-income Countries,No income group available,Sub-Saharan Africa
1,WORLD,,900,,,,,,,,,,,
2,UN development groups,,,,,,,,,,,,,
3,More developed regions,b,901,,,,,,,,,,,
4,Less developed regions,c,902,,,,,,,,,,,
5,Least developed countries,d,941,,,,,,,,,,,
6,"Less developed regions, excluding least developed countries",,934,,,,,,,,,,,
7,World Bank income groups,,,,,,,,,,,,,
8,High-income countries,e,1503,,,,,,,,,,,
9,Middle-income countries,e,1517,,,,,,,,,,,
10,Upper-middle-income countries,e,1502,,,,,,,,,,,
11,Lower-middle-income countries,e,1501,,,,,,,,,,,
12,Low-income countries,e,1500,,,,,,,,,,,
13,No income group available,e,1518,,,,,,,,,,,
14,Geographic regions,,,,,,,,,,,,,
15,Africa,,903,,,,,,,,,,,
16,Asia,,935,,,,,,,,,,,
17,Europe,,908,,,,,,,,,,,
18,Latin America and the Caribbean,,904,,,,,,,,,,,
19,Northern America,,905,,,,,,,,,,,
20,Oceania,,909,,,,,,,,,,,
21,Sustainable Development Goal (SDG) regions,f,,,,,,,,,,,,
22,SUB-SAHARAN AFRICA,,947,,,,,,,,,,,
23,Eastern Africa,,910,,,,,,,,,,,Y
24,Burundi,,108,B R,,Y,Y,,,,,Y,,Y
25,Comoros,,174,B,,Y,Y,,,,,Y,,Y
26,Djibouti,,262,B R,,Y,Y,,Y,,Y,,,Y
27,Eritrea,,232,I,,Y,Y,,,,,Y,,Y
28,Ethiopia,,231,B R,,Y,Y,,,,,Y,,Y
29,Kenya,,404,B R,,Y,,,Y,,Y,,,Y
30,Madagascar,,450,C,,Y,Y,,,,,Y,,Y
31,Malawi,,454,B R,,Y,Y,,,,,Y,,Y
32,Mauritius,1,480,C,,Y,,,Y,Y,,,,Y
33,Mayotte,,175,B,,Y,,,,,,,Y,Y
34,Mozambique,,508,B R,,Y,Y,,,,,Y,,Y
35,Réunion,,638,B,,Y,,,,,,,Y,Y
36,Rwanda,,646,B R,,Y,Y,,,,,Y,,Y
37,Seychelles,,690,B,,Y,,Y,,,,,,Y
38,Somalia,,706,I R,,Y,Y,,,,,Y,,Y
