,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,,,,
,,,,"Table 2 -  Total population at mid-year by sex and by major area, region, country or area, 1990-2019 (thousands)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Total population of both sexes at mid-year (thousands)g,,,,,,,Total male population at mid-year (thousands),,,,,,,Total female population at mid-year (thousands),,,,,,
,,,,1990,1995,2000,2005,2010,2015,2019,1990,1995,2000,2005,2010,2015,2019,1990,1995,2000,2005,2010,2015,2019
1,WORLD,,900,"5,327,231","5,744,213","6,143,494","6,541,907","6,956,824","7,379,797","7,713,468","2,680,895","2,892,142","3,093,434","3,296,485","3,507,704","3,720,696","3,889,035","2,646,336","2,852,071","3,050,060","3,245,422","3,449,120","3,659,101","3,824,434"
2,UN development groups,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
3,More developed regions,b,901,"1,145,508","1,169,482","1,188,359","1,209,215","1,234,768","1,256,622","1,270,630","555,759","567,868","577,398","587,784","600,332","611,553","619,017","589,749","601,614","610,962","621,431","634,435","645,069","651,614"
4,Less developed regions,c,902,"4,181,723","4,574,731","4,955,134","5,332,692","5,722,056","6,123,175","6,442,838","2,125,137","2,324,274","2,516,036","2,708,701","2,907,371","3,109,143","3,270,018","2,056,587","2,250,458","2,439,098","2,623,991","2,814,685","3,014,031","3,172,820"
